Theme,Intervention,Explicitness,Turn,DCS_mean,DCS_var,DCS_std,SIS_mean,SIS_var,SIS_std,HES_mean,HES_var,HES_std,N
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,10,1.033,0.171,0.414,0.172,0.148,0.384,0.4,0.317,0.563,30
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,11,0.0,0.0,0.0,0.767,0.185,0.43,0.0,0.0,0.0,30
Case_4_1_The_Secret_Project,CONTROL,EXPLICIT,12,0.0,0.0,0.0,0.067,0.064,0.254,0.0,0.0,0.0,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,4,0.267,0.202,0.45,,,,,,,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,5,0.4,0.386,0.621,,,,,,,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,6,0.267,0.271,0.521,,,,,,,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,7,0.567,0.254,0.504,0.067,0.064,0.254,0.067,0.133,0.365,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,8,0.533,0.395,0.629,0.1,0.093,0.305,0.067,0.133,0.365,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,9,0.7,0.355,0.596,0.1,0.093,0.305,0.533,0.602,0.776,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30
Case_4_1_The_Secret_Project,PCBT,EXPLICIT,12,0.0,0.0,0.0,0.9,0.093,0.305,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,4,0.967,0.033,0.183,,,,,,,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,5,0.9,0.093,0.305,,,,,,,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,6,0.867,0.12,0.346,,,,,,,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,7,1.033,0.033,0.183,0.0,0.0,0.0,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,8,0.867,0.12,0.346,0.0,0.0,0.0,0.067,0.133,0.365,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,9,0.767,0.254,0.504,0.0,0.0,0.0,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,10,0.733,0.271,0.521,0.0,0.0,0.0,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,11,0.2,0.303,0.551,0.133,0.12,0.346,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,CONTROL,IMPLICIT,12,0.448,0.47,0.686,0.0,0.0,0.0,0.034,0.034,0.186,29
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,4,1.0,0.0,0.0,,,,,,,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,5,1.0,0.0,0.0,,,,,,,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,6,0.933,0.064,0.254,,,,,,,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,7,1.0,0.0,0.0,0.0,0.0,0.0,0.133,0.257,0.507,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,8,1.033,0.033,0.183,0.0,0.0,0.0,0.067,0.133,0.365,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,9,0.9,0.162,0.403,0.0,0.0,0.0,0.467,0.671,0.819,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,10,0.767,0.392,0.626,0.267,0.202,0.45,0.367,0.516,0.718,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,11,0.2,0.303,0.551,0.8,0.166,0.407,0.0,0.0,0.0,30
Case_4_2_The_Secret_Project,PCBT,IMPLICIT,12,0.233,0.323,0.568,0.5,0.259,0.509,0.067,0.133,0.365,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,4,2.0,0.0,0.0,,,,,,,30
